Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
C1orf112	AC104695.4	AL670729.3	ASH1L-AS1	VASH2	INSRR	DDX59-AS1	Z99572.1	LAMC2	TDRD5	AC096677.1	MYOCOS	LOR	AL592435.1	AL670729.2	AC093422.2	ITPKB	TMEM81	MTMR11	AL365181.2	BX470102.2	AL590723.1	COLEC11	PLXNA2	AL161734.1	PLXNA2	PPFIA4	SLC45A3	ATP2B4	AL353593.1	MFSD4A	OR2M4	AC011700.1	TRAF3IP3	HSD11B1-AS1	AC007389.3	ATP1A4	FMO4	AL590723.1	CYB5R1	TRIM58	LINC00538	AL022397.1	AL592402.1	ADORA1	BLACAT1	PAQR6	LINC00299	MROH9	TPO	RRM2	LYPLAL1-DT	CYTOR	MFSD4A	FAM49A	BLACAT1	AC096677.1	CAMK1G	GREM2	HIST3H2A	CHML	RHOU	AL162595.1	REL	AC079352.1	MROH9	AL391832.4	AL162595.1	ASPM	SPRTN	F11R	MAP3K21	TMEM81	MFSD4A	AC092803.1	WNT9A	TATDN3	APOBEC4	AL358473.1	TMEM81	LINC01717	AL365184.1	AC092809.4	SOX13	C1orf226	AXDND1	AL357568.1	TNN	IBA57	HIST3H2A	KIF14
METTL18	AC019127.1	AL670729.2	AL355388.3	LINC02775	AL138899.1	UBE2T	F5	AL713852.2	XPR1	SYT2	AL590723.1	S100A9	AL596087.3	AL117350.1	KLHDC8A	ITPKB-IT1	CDK18	SELENBP1	NES	AL162258.2	RGS16	AC082651.3	AL606753.2	NMNAT2	AL022397.1	ADORA1	AL606753.2	ZC3H11A	AL353593.2	LINC01717	TPO	AC096642.1	BATF3	AL592402.1	ASPRV1	CASQ1	AL139142.1	FAM20B	AL606489.1	OR2L3	PROX1	PROX1-AS1	TAF1A	ZC3H11A	PLXNA2	GLMP	ID2	FMO4	RPS7	GREB1	MARC1	DUSP2	DYRK3	MATN3	RHEX	AC104463.2	AL022397.1	AL645465.1	KCNK1	AL606534.1	MAP3K21	PGBD5	PELI1	AC007390.2	FMO3	WDR64	GALNT2	CRB1	DISC1	C1orf226	COA6-AS1	TMCC2	DYRK3	VASH2	OBSCN-AS1	LYPLAL1-AS1	AL713852.1	PLEKHA6	BLACAT1	CAMK1G	RGS7	ITPKB	PPP1R15B	AL391001.1	TOR1AIP1	AL357568.2	AL591043.2	OBSCN-AS1	HIST3H2BB	AL358473.2
BX284613.2	RASGRP3	AL139288.1	RAB25	AC099563.2	SPTA1	REN	GORAB-AS1	AC096677.1	AL161734.2	GOLT1A	AL591043.2	AL358472.4	CD247	AL357972.1	LEMD1-AS1	ITPKB-AS1	RAB7B	S100A4	SH2D2A	AL513523.3	DHX9	MATN3	AL022397.1	RGL1	LPGAT1	LINC01353	LINC01717	ZBED6	AL670729.3	AL022397.1	LINC01250	DUSP10	FAM177B	AC096639.1	TGFA	AL121987.2	RC3H1-IT1	TOR3A	TMEM81	SH3BP5L	SMYD2	PROX1	AC092809.4	ZBED6	AL606753.2	AL365181.3	GRHL1	SEC16B	LINC01871	MYCN	DUSP10	FER1L5	SYT14	SDC1	PLXNA2	PPFIA4	PACC1	LINC01341	SLC35F3	ZNF669	KCNK1	AL133516.1	AC012368.1	ZFP36L2	FMO4	PLD5	AL136988.2	KIF14	AL136171.2	AL596325.2	RYR2	AVPR1B	IRF6	KCNK2	OBSCN	AL356108.1	LINC01350	SRGAP2	MFSD4A	HSD11B1-AS1	AL606534.1	ITPKB-AS1	CDK18	ILDR2	AL162431.1	LINC00970	SEC16B	AL118511.1	PGBD5	UBE2T
MROH9	CRIM1	HIST3H2BB	NAXE	KCNK2	AL139011.1	SLC45A3	ASTN1	SYT2	LAMC1-AS1	AC096675.1	RASAL2-AS1	KCNN3	LINC00970	LINC01132	LEMD1	AL353593.2	IRF6	BX470102.2	AIM2	KCNN3	AL354953.1	RHOB	TATDN3	APOBEC4	PACC1	ETNK2	CAMK1G	SYT14	TRIM17	SERTAD4	LINC01954	AL592148.3	AL392172.2	PROX1-AS1	AC005234.2	PEA15	AL590723.1	RGS16	PLXNA2	MYT1L-AS1	ZC3H11B	SMYD2	AL451047.1	SOX13	LINC01717	PEAR1	C2orf50	SOAT1	GRHL1	AC079148.3	TAF1A-AS1	ZAP70	AL022397.1	AC018467.1	AL590138.1	LINC01353	VASH2	TRIM58	AL355472.2	ZNF496	SLC35F3	AL353052.1	PLEK	PLEKHH2	SLC9C2	AL591686.2	AGT	INAVA	NID1	FAM78B	CHRM3	YOD1	SYT14	CDC42BPA	AL353593.1	DNAH14	PDC	RASSF5	AVPR1B	HSD11B1	AL591721.1	GJC2	SLC45A3	MAEL	GLUL	CCDC181	SOAT1	KCNK1	AL133516.1	AC104463.2
FMO3	QPCT	ACTA1	NTRK1	USH2A	NR1I3	AC244035.4	BRINP2	ADORA1	AL713852.2	AC093422.2	KIAA1614-AS1	DCST1-AS1	F5	EDARADD	BLACAT1	LINC01736	AC011700.1	AL162258.2	KCNJ10	PBXIP1	AL158011.1	AC012073.1	SMYD2	C1orf21	VASH2	AC096675.1	AL590101.1	AL022397.1	AL118511.1	HHAT	VSNL1	TP53BP2	TLR5	LINC00538	VAX2	AL592295.4	C1orf220	APOBEC4	VASH2	TRAPPC12-AS1	BPNT1	USH2A	AL627308.3	ETNK2	SERTAD4-AS1	CFAP45	SLC66A3	RGS16	AC104794.3	AC011239.1	LIN9	AC092675.1	TRAF5	AC012506.4	AL606753.2	ATP2B4	LYPLAL1-AS1	OR2L5	COA6	ZNF672	AL355472.2	MAP3K21	ARHGAP25	LINC01119	AL139142.1	PGBD2	WDR64	LMOD1	LINC01139	CD247	CHRM3-AS2	CR1L	AL022397.1	AL353689.3	AL670729.3	AL451047.1	GLRX2	DYRK3	PLXNA2	KCNH1	AKT3-IT1	CAPN9	RAB7B	AL136984.1	RNASEL	BX284613.2	SHCBP1L	OR2L2	TRIM67	ZBED6
FMO2	AC007391.3	AL121990.1	INSRR	AL360093.1	AL592295.4	FAM72A	RALGPS2	AC105940.1	AL365258.1	DYRK3	RGS16	RAB25	GORAB-AS1	AL359924.1	LAMB3	AL136171.2	TGFB2-AS1	KCNN3	ATP1A2	AC234582.1	IVNS1ABP	KCNK3	KCNK2	KCNT2	KCNK2	NFASC	MARK1	VASH2	MAP10	KCNH1	LINC00954	AL512343.2	LINC01736	PROX1	RTKN	NOS1AP	LINC02818	AL158011.1	TAF1A	AC108488.3	TAF1A	ZC3H11B	OBSCN-AS1	PLEKHA6	SERTAD4	IGSF9	MIR3681HG	NPL	GREB1	ADGRF3	HIST3H2BB	NPAS2	INTS7	KLHL29	LINC01717	ETNK2	ZC3H11B	OR2L2	GGPS1	PGBD2	EDARADD	COA6	AC114802.1	AC093110.1	ANKRD45	AC073195.1	EXO1	PTPN7	AL390728.6	LINC00970	AL359918.2	LAMB3	TRAF5	AL451047.1	TRIM11	AL627308.3	CFHR4	PLXNA2	LINC01717	AC092803.2	ZBTB18	DISC1-IT1	FAM72A	Z99758.1	SHCBP1L	MROH9	COLGALT2	PGBD2	SIPA1L2	EIF2D
AL137157.1	LINC00211	PGBD5	CADM3-AS1	AC096642.2	AL592435.1	IL19	ANGPTL1	LINC01353	AC096677.1	AL034351.4	RGS8	GPATCH4	MYOCOS	AL356010.2	HSD11B1-AS1	LINC01744	DUSP10	PBXIP1	ATP1A4	BCAN	PRG4	EMILIN1	AC092809.2	AC104463.2	MARK1	CNTN2	SUSD4	AC096639.1	COA6-AS1	AL590101.1	SDC1	HIST3H2BB	FAM89A	AC011700.1	PCGF1	AL450163.1	COLGALT2	ASPM	LINC01703	SOX11	AL592148.3	EPHX1	OBSCN	AC096675.1	HHAT	ATP1A2	AC064875.1	RGL1	NTSR2	CENPA	WDR64	AC092168.2	AC092803.1	AC011239.1	PACC1	GOLT1A	SLC30A10	ALKAL2	AL365184.1	AC079779.2	RYR2	ACTN2	ANXA4	AC012368.1	AXDND1	ATP6V1C2	SNTG2-AS1	LGR6	AC079779.2	RC3H1-IT1	AL359764.1	HSD11B1-AS1	INTS7	AL627308.3	TRIM17	OBSCN-AS1	AC104461.1	LINC01698	CAMK1G	AL592402.1	AL645465.1	AL591721.1	DTL	BX284613.2	NMNAT2	FMO3	C1orf21	AC093390.2	KCNK1	G0S2
CENPL	AC007877.1	TRIM67	NHLH1	ZC3H11B	TBX19	LAMB3	TDRD5	ETNK2	ELF3-AS1	LPGAT1-AS1	AL158011.1	ARHGEF11	TNFSF4	AL590490.1	KCNH1	AL359918.2	AL592148.3	EFNA4	CASQ1	AL365181.3	LINC01720	FOSL2	AC099066.2	GOLT1A	C1orf115	SLC45A3	AC092809.4	PROX1-AS1	TBCE	USH2A	KLHL29	AL162595.1	DISC1	LINC02775	AC110614.1	DDR2	PRG4	CRB1	PARP1	AC010729.2	AC099066.2	AL512343.2	AL353593.1	NFASC	KCNH1	ATP1A4	MYCNOS	AL391645.1	LPIN1	EMILIN1	EXO1	LINC01885	VASH2	AC009242.1	VASH2	PLEKHA6	MARK1	AC079779.2	OPN3	SNTG2	AL359918.2	RYR2	AC092431.1	SERTAD2	TOR1AIP1	LINC01954	TRAPPC12-AS1	UBE2T	AC092159.2	FAM163A	KIF26B	G0S2	BATF3	OBSCN	RHOU	TRIM17	NAV1	CAMK1G	HSD11B1-AS1	USH2A	CATSPERE	OR2L13	AL606468.1	MROH9	AL354953.1	SLC9C2	BRINP3	TRAPPC12-AS1	SLC35F3	HHAT
DARS2	EML4	SIPA1L2	HSD17B7	FAM177B	AL023755.1	G0S2	XPR1	LEMD1-AS1	SYT2	AL356108.1	AL713852.1	CD5L	RABGAP1L-DT	AL591848.2	AC092017.4	GCSAML	SUSD4	AC234582.1	NOS1AP	AL590666.2	AL138927.1	AC104695.4	AC099066.1	PLEKHA6	AC092809.4	DYRK3	CNIH3	PROX1	ERO1B	ESRRG	FAM228A	CCSAP	AL136171.2	SMYD2	AC079117.2	AL592435.1	BRINP3	NEK7	JMJD4	SILC1	LEFTY1	MRPL55	AL353593.2	CNTN2	AC092803.2	CASQ1	FAM49A	AL138927.1	VSNL1	FAM98A	ZNF695	SULT1C4	AL592402.1	PFN4	PROX1-AS1	PFKFB2	SUSD4	AC105450.1	AKT3-IT1	AC114808.1	RGS7	CHRM3	TGFA	FAM136A	NIBAN1	MIR3681HG	AC108488.3	SOX13	LINC01249	QSOX1	LINC01341	AL590101.1	TAF1A-AS1	AL353593.1	LINC02814	RHOU	IPO9-AS1	HSD11B1-AS1	RD3	ESRRG	KIF26B	AC007314.1	FLVCR1-DT	FMO3	AL449223.1	AL139142.1	AL354771.1	RNF144A-AS1	GNG4	AC096637.2
Z99127.4	OXER1	KCNK1	AL626787.1	AC096537.1	LINC00626	AL034351.4	AL161734.1	MFSD4A	ADORA1	SUSD4	LINC01350	KIRREL1	LINC02803	C1orf229	RD3	AL606804.1	AC096537.1	RAB25	AL450163.1	LRRC71	ASPM	AC016907.2	ACBD3-AS1	TMEM81	GJC2	PFKFB2	AC096537.1	AC011700.1	EDARADD	SPATA17	AC009228.1	ACTA1	LINC01132	USH2A	LRRTM1	MAEL	AL354771.1	KIF14	OBSCN-AS1	AC017053.1	ACBD3-AS1	TRIM17	HIST3H2BB	KLHDC8A	LYPLAL1-AS1	DDR2	DRC1	B3GALT2	KCNS3	GALM	AC231981.1	MIR4435-2HG	KCNK2	FAM228A	PROX1	YOD1	STUM	NRIR	ZBTB18	PXDN	AL359764.1	CHRM3-AS2	FIGLA	TGFA	SWT1	AC064875.1	LINC00299	LEMD1-DT	AC079148.3	CACNA1E	AL390860.1	AC096639.1	AC099066.2	AL670729.3	GALNT2	AL158214.2	AL513217.1	G0S2	AL592402.1	AL596330.2	KIF26B-AS1	LINC01954	CENPF	FMO4	AL158011.1	ANKRD45	AL138927.1	CPSF3	CHRM3-AS2	DTL
AL590723.1	EPAS1	AL357972.1	LINC01681	AL391811.1	CCDC181	AL590101.1	RGSL1	PM20D1	AC105940.1	DNAH14	PDC	CADM3	AL353708.3	TRIM58	SPATA45	AC082651.1	AL391811.1	PAQR6	SPATA46	SLAMF8	KIF14	RASGRP3	OBSCN	TMCC2	OBSCN	AL606753.2	AL596330.2	LINC02775	AL359918.2	AC096642.1	ADGRF3	SIPA1L2	LYST	ESRRG	TCF7L1	METTL18	LINC01351	LMOD1	OBSCN	MIR7515HG	AL627308.3	CCSAP	RHOU	LEMD1	SUSD4	AL592435.1	FAM166C	AL136456.1	AC079148.3	SOS1-IT1	MIR7515HG	AC108463.3	CDC42BPA	AC013267.2	SUSD4	AL596218.1	WNT9A	CMPK2	AC118555.1	MYT1L-AS1	LINC02774	CATSPERE	MTHFD2	VAX2	HMCN1	WDR35	RRM2	SLC45A3	AC130814.1	RGS8	TRIM58	PROX1	ACBD3-AS1	TRIM11	AL136988.2	ARV1	SYT2	SYT14	AC096639.1	DNAH14	AC118555.1	NTSR2	LYPLAL1-AS1	AL139142.1	NIBAN1	RABGAP1L-DT	CFHR5	AC007314.1	AL359918.2	AL606468.1
RASAL2-AS1	AC016722.1	SLC35F3	MYOCOS	DNAH14	FMO2	NEK2	LAMC2	DYRK3	CHIT1	OBSCN-AS1	B3GALT2	CADM3-AS1	LINC01699	AC114808.2	VASH2	NTSR2	LEFTY1	C1orf61	C1orf226	AL590560.2	DDX59-AS1	CRIM1	AL353593.1	BLACAT1	AL353593.1	BATF3	LINC02813	TAF1A	OPN3	LINC02817	FAM166C	RBM34	AL359921.2	LYPLAL1-DT	TMEM150A	BX284613.2	AL391645.1	UBE2T	AL353593.1	AC068481.1	WNT9A	PGBD5	CCSAP	BLACAT1	LINC01703	AL358115.1	TOGARAM2	IGFN1	AC018742.1	AC007317.2	GRHL1	AC068491.3	AL353689.3	AC012074.1	AC099066.2	FLVCR1-DT	TRIM17	KLF11	ZNF670	TRAPPC12-AS1	AL390860.1	TFB2M	HK2	RTKN	BRINP3	GAREM2	AC007314.1	FAM72A	KCNK3	AL096803.2	OR2L5	HLX	CDC42BPA	TRIM17	C1orf131	MAP3K21	PCAT6	AL022397.1	KCNK2	ACBD3-AS1	ZNF695	AC079148.3	HLX-AS1	AXDND1	SWT1	TNN	INAVA	AC093912.1	GREM2	BATF3
AL353708.3	AC007381.1	RBM34	RC3H1-IT1	GJC2	TNFSF18	AC096637.1	AL096803.4	FCMR	GOLT1A	OBSCN	AL358473.2	ACKR1	CACNA1E	AC093390.2	USH2A	LINC01804	AL117350.1	AL365181.2	DDR2	AL590560.3	SHISA4	QPCT	AL353593.2	MFSD4A	AL353593.2	SLC30A10	STUM	AL592148.3	CHML	TAF1A-AS1	KCNK3	B3GALNT2	AL390728.5	AC096642.1	ATOH8	MROH9	AL136456.1	BTG2	AL353593.2	LINC01814	IBA57	EXOC8	TRIM67	PM20D1	AL627308.3	ILDR2	CRIM1-DT	PTPN7	AC096570.1	LINC01794	RRM2	AC017002.6	AL353593.1	DTNB	PYCR2	AL592402.1	PGBD5	KCNF1	AC093390.1	AC108488.3	ALKAL2	LINC01341	CAPG	DOK1	AL354771.1	ADGRF3	ATP6V1C2	SERTAD4	EMILIN1	AL390957.1	OR2L2	AL592148.3	OBSCN-AS1	RHOU	PCNX2	AL355472.3	LEMD1	KCNK2	USH2A	COQ8A	ZNF670	RHOB	DUSP10	TOR1AIP1	PLA2G4A	AXDND1	IGFN1	AC096570.1	AL359764.2	AC011700.1
AL161734.2	B3GNT2	CHRM3	Z99127.1	OBSCN	AXDND1	DTL	AL365258.1	IRF6	AC096675.1	AL353593.3	NAV1	AL121987.1	AL161734.1	AC018685.2	ZC3H11B	AC011752.1	ACTA1	BCAN	AL391001.1	CFAP45	LMOD1	SOS1-IT1	AL670729.3	SLC45A3	RHOU	LINC02813	CDC42BPA	AC099066.2	WDR64	SUSD4	CGREF1	GNG4	NLRP3	MARC2	ST3GAL5	FMO3	AL357793.2	PRELP	AL353593.3	AC073195.1	RHOU	AL359921.1	SIPA1L2	RASSF5	AL353593.3	AL451050.2	RMDN2	AL512306.3	KLHL29	LINC01913	AC007314.1	AC017002.5	TRIM11	AC104699.1	AL512343.2	PTPN14	TRIM67	VSNL1	MYT1L-AS1	SOX11	TPO	OR2L2	VAMP8	AC012494.1	LINC01351	AC092164.1	C2orf50	HHAT	FOSL2	RGS13	OR2L3	FAM177B	OBSCN	PCNX2	MAP3K21	EDARADD	BLACAT1	MARK1	MARC1	PGBD5	FAM110C	CENPA	SUSD4	AL449223.1	BRINP3	AL390957.1	NAV1	AC012074.1	AL606534.1	CENPF
SHCBP1L	AC012370.1	GREM2	RASAL2-AS1	AL353593.3	AL359853.2	AL606468.1	LINC00862	SYT14	AC093422.2	AL670729.3	AC092800.1	KCNJ9	RGS8	AC011995.1	AL513314.2	TRIM54	FAM89A	AL365181.3	AL626787.1	KCNJ10	UBE2T	AC007877.1	PGBD5	AC119673.2	PGBD5	AL670729.3	AL670729.3	LIN9	C1orf100	AC096537.1	TOGARAM2	AL359918.2	GCSAML	AL592148.3	ST3GAL5-AS1	FMO4	CRB1	OPTC	TRIM11	AC007314.1	CCSAP	AL359918.2	MAP10	CR1L	TRIM17	CCDC181	RMDN2-AS1	LRRN2	AC011239.1	CRIPT	GEN1	RGPD8	TRIM17	CGREF1	STUM	KCNK2	IRF2BP2	GAREM2	AC231981.1	AC010729.2	AC019118.2	OR2L3	CD8B	ATOH8	CRB1	TTC27	EFR3B	NEK2	AC104695.4	CFHR1	OR2L13	AC092811.1	AL353593.1	MAP3K21	SLC35F3	RYR2	LEMD1-DT	MARC2	AL356108.1	AL133516.1	AC116609.2	AC013403.2	FAM89A	TSEN15	AL354771.1	CRB1	IPO9-AS1	AC010896.1	ZBTB18	LIN9
NIBAN1	DYSF	PLD5	AL359853.2	AL670729.3	LHX4	BATF3	ASCL5	AL022397.1	MFSD4A	RHOU	IPO9-AS1	CASQ1	LAMC1-AS1	COLEC11	AC092809.4	GTF3C2-AS1	DISC1	AL590666.2	ILDR2	AL121987.1	NUCKS1	EPAS1	TBCE	PM20D1	TTC13	TRIM67	AL162595.1	AL451047.1	AL591623.1	LINC02813	CLIP4	AL591721.1	OR13G1	SUSD4	AC012511.1	AL137157.1	AL136322.1	NUCKS1	HIST3H2BB	LINC01954	TAF5L	AL606534.1	AL355472.2	LINC01717	GALNT2	SOAT1	TMEM178A	NUAK2	AC009242.1	KCNK12	WDCP	PSD4	HIST3H2A	TRIM54	TRIM17	AC096642.1	FMN2	SLC5A6	AC013460.1	AC017053.1	AC231981.1	OR2L13	KIAA1211L	RGPD2	SHISA4	PRKD3	GAREM2	AC096637.1	AC009305.1	CFHR4	OR2M3	SRP9	AL670729.3	EDARADD	AL355472.2	AL359764.1	PLXNA2	SUSD4	AC092809.2	LYST-AS1	AC105450.1	GTF3C2-AS1	DISC1	AL158011.1	LINC01351	DDX59-AS1	AL513217.1	FAM166C	AL645465.1	STUM
PRG4	DQX1	AL591686.2	FAM163A	AL670729.2	KIAA1614	CENPF	AC096677.1	LPGAT1-AS1	AC244035.4	AL121990.1	AL645504.1	FCRLB	LAMC2	SOX11	AL391811.1	NLRC4	AL136171.2	NES	MAEL	ATP1A4	FAM72A	SLC1A4	GNG4	PFKFB2	AL359918.2	PCNX2	CCSAP	AL353593.1	ZNF670	AC099066.1	ALK	LINC02774	LINC00954	AC096537.1	RGPD1	SEC16B	GPR37L1	FAM72A	RHOU	AC099344.1	PGBD5	AKT3	GPR137B	CAMK1G	AL136988.2	BRINP3	PKDCC	AL596218.1	FKBP1B	AC009975.1	CENPO	LIMS2	RHOU	KRTCAP3	CCSAP	MARC2	AL359918.2	C2orf16	GRHL1	MIR7515HG	DCDC2C	ZNF692	AC013402.1	KCNIP3	AL513217.1	RMDN2	ADGRF3	DTL	NLRC4	DENND1B	OR2M4	EPHX1	TRIM11	RYR2	AL355472.3	AL591686.1	HSD11B1	TP53BP2	AC092809.4	RYR2	ADI1	AC104695.2	AL136171.2	NIBAN1	KCNT2	LMOD1	GPR37L1	AC013472.1	AL591623.1	ITPKB-AS1
BRINP3	EVA1A	ZBTB18	AL449223.1	TRIM11	IER5	LIN9	SYT2	INTS7	DYRK3	AL122003.2	SYT2	AL499616.1	AL445228.2	AC010729.2	AC099066.2	BIRC6-AS1	DISC1-IT1	KCNJ10	AL023755.1	CASQ1	AL445493.2	DYSF	AL365184.1	VASH2	GREM2	MAP3K21	TRIM67	AL353593.2	AC079779.1	AL512343.2	AC074096.1	KIF26B	POMC	DNAH14	AC068279.2	C1orf220	OPTC	YOD1	EXOC8	LPIN1	TRIM67	AKT3-IT1	ERO1B	SYT14	TRIM67	AL354771.1	EPAS1	AC092803.2	PFN4	FSHR	CENPA	AC010974.1	ARV1	CAPN14	IRF2BP2	TLR5	GREM2	ALK	AC104794.3	CMPK2	NRIR	SNTG2-AS1	AC010978.1	FAM178B	LMOD1	RMDN2-AS1	DRC1	AL606468.1	RASGRP3	C1orf53	OR2T6	ARF1	TRIM17	AL359764.2	TARBP1	AL645465.1	AL022397.1	AC092809.2	LEFTY1	AL356010.2	AC231981.1	AC074096.1	COA6-AS1	SWT1	NEK7	PPP1R12B	LGR6	GTF3C2-AS1	OR2L5	AL451047.1
AL354771.1	AC007099.1	AL590483.2	AL713852.1	ACTA1	RGSL1	ITPKB-IT1	ADORA1	KCNK2	CR1	MAP3K21	ZC3H11A	AL357568.1	AL713852.2	AC017053.1	AC099066.1	AC074366.1	COA6-AS1	AL121987.1	Z99758.1	AL139011.1	CR1L	ACTG2	CEP170	AC096639.1	AL359764.2	KCNK1	MAP10	TRIM17	AC079779.2	ACBD3-AS1	AC106870.1	KIF26B-AS1	AC010896.1	AC099066.2	RGPD2	SOAT1	AL606489.1	CD55	SIPA1L2	AC068286.2	SIPA1L2	ZBTB18	EDARADD	SERTAD4-AS1	SLC35F3	LINC01351	LHCGR	PTPN14	AC013472.2	AC009975.2	AC019127.1	AC092652.1	PCNX2	EHD3	GGPS1	SUSD4	RGS7	GALNT14	LINC01954	RSAD2	CMPK2	SNTG2	AC009505.1	C2orf92	GPR37L1	CYP1B1	CAD	CENPF	CRIM1	LHX9	MYT1L	GUK1	RHOU	C1orf100	B3GALNT2	AC092801.1	SERTAD4-AS1	AL512343.2	AL512343.2	CHRM3	LINC01871	NLRC4	AL391832.4	HMCN1	INAVA	AC104463.2	CHI3L1	XDH	OR2L2	AL353593.1
LINC01351	AC005034.6	AL645465.1	AL096803.4	PGBD5	SHCBP1L	AL451047.1	AC105940.1	TAF1A-AS1	CAMK1G	AL357972.1	AC096645.1	TMCO1-AS1	LINC01350	RNF144A-AS1	AL670729.3	OXER1	AL391832.4	ATP1A2	METTL18	CFAP126	HHAT	AC007099.1	AL606534.1	KCNK2	CEP170	SLC35F3	PCNX2	PGBD5	PXDN	AL451047.1	GALNT14	AC104462.1	AC097724.1	PSEN2	AC233263.6	AXDND1	NUAK2	TRAF5	ERO1B	KCNS3	MAP3K21	AL645465.1	AL359921.1	SERTAD4	AL355472.2	AL391645.1	AC009975.1	SPATA17	GALNT14	C2orf73	CRIM1-DT	AC104777.1	MAP3K21	XDH	AL359918.2	DNAH14	ZBTB18	LINC02613	KCNF1	AC080162.1	RNF144A-AS1	AC114808.1	LINC01885	COA5	PPP1R12B	CYP1B1-AS1	PLB1	TGFB2	LINC00211	KIF21B	AC093390.2	RNF187	AL445524.1	AL591623.1	EDARADD	AL390860.1	SERTAD4	LINC02814	PSEN2	CHRM3-AS2	AC104794.3	BIRC6-AS1	CHRM3	PLA2G4A	AL513217.1	NUAK2	ATP2B4	AL121658.1	ZNF672	HIST3H2BB
ASPM	TCF7L1-IT1	AL591623.1	ERVMER61-1	AL133516.1	LAMC1-AS1	AL627308.3	CHIT1	FAM177B	IRF6	AL160408.2	AC096675.1	FAM78B	AL136456.1	AC007314.1	EXOC8	LINC02580	CHRM3	ATP1A4	FMO4	NOS1AP	KCNH1	VAMP5	AKT3	TGFB2	AKT3	AL355472.2	MAP3K21	MAP10	MYT1L-AS1	OBSCN-AS1	CAPN14	OR2L2	NLRC4	COQ8A	AL845331.2	RGS16	FAM72A	NEK2	AL359921.1	LINC00954	AL160408.2	TFB2M	OPN3	VASH2	TARBP1	INAVA	AC007402.1	SLC30A10	DPY30	MTIF2	RMDN2-AS1	ACVR1C	EDARADD	FEZ2	AL359764.1	LEFTY1	KIF26B	CDKL4	NTSR2	LINC01954	LINC01871	TPO	LINC01886	LIPT1	ATP2B4	GALM	AC092164.1	LBR	SOS1-IT1	AL358473.1	AC018685.2	TRIM67	PCNX2	AL390860.1	RYR2	OR2M3	AL590101.1	TRIM67	JMJD4	AL133390.1	RN7SL832P	AC007317.2	CHRM3-AS2	BRINP3	PTPN7	SLC45A3	SOX13	AC019127.1	FAM110C	SIPA1L2
LINC01221	VAMP8	AL591848.4	LINC01035	TRIM67	COLGALT2	IBA57-DT	LINC01353	AC092809.4	SYT14	RYR2	TMEM81	AL596087.3	CFHR1	KCNF1	KCNK1	AC010883.3	CHRM3-AS2	CASQ1	AL137157.1	AL450163.1	NEK2	LINC01943	AL591721.1	C1orf115	AKT3-IT1	AL355472.3	KCNK1	ERO1B	TRAPPC12-AS1	AL136988.2	AL133245.1	AC079779.3	AC083949.1	WNT9A	KCNIP3	AL158011.1	AL445493.2	DTL	OPN3	KLHL29	ERO1B	AL591623.1	CHML	KCNK2	AL160408.2	AL513217.1	AC079304.1	MARC2	AC007390.2	AC011306.1	CYP1B1	PKP4-AS1	LGALS8	VIT	CEP170	MAP3K21	KIF26B-AS1	SIX3	MYCNOS	KCNF1	LINC00298	AC018685.2	SULT1C2	RFX8	SOX13	PKDCC	LTBP1	LIN9	EML4	AC096677.1	AC011995.2	EXOC8	MAP3K21	OR2L5	AL359918.2	AC092159.2	LPGAT1	SIPA1L2	AL133516.1	CATSPERE	LINC01954	OXER1	EXO1	AL354771.1	LGR6	SLC41A1	LRRN2	AC007390.2	AC116609.2	B3GALNT2
